-81.26;33.78;75145
0.00;0.00;75219
-0.40;0.36;75295
-2.70;2.58;75371
-7.10;6.51;75447
-13.00;12.20;75525
-22.00;19.70;75603
-32.00;25.70;75681
-44.00;29.80;75759
-55.00;31.90;75837
-64.00;32.10;75915
-71.00;31.90;75993
-76.00;31.90;76071
-80.00;31.90;76149
-81.00;31.90;76227
-81.00;31.90;76305
-81.00;31.90;76383
-81.00;31.90;76461
-81.00;31.90;76539
-81.00;31.90;76617
-81.00;31.90;76695
-81.00;31.90;76773
-81.00;31.90;76851
-81.00;31.90;76929
-81.00;31.90;77007
-81.00;31.90;77085
-81.00;31.90;77163
-81.00;31.90;77241
-81.00;31.90;77319
-81.00;31.90;77396
-81.00;31.90;77475
-81.00;31.90;77553
-81.00;31.90;77631
-81.00;31.90;77709
-81.00;31.90;77787
-81.00;31.90;77864
-81.00;31.90;77943
-81.00;31.90;78021
-81.00;31.90;78099
