-57.26;14.08;217013
0.01;0.00;217089
-0.40;0.37;217165
-2.80;2.65;217242
-7.30;6.76;217319
-14.00;11.00;217398
-23.00;13.10;217478
-33.00;13.30;217556
-42.00;13.20;217635
-49.00;13.20;217714
-53.00;13.20;217793
-56.00;13.20;217873
-57.00;13.20;217952
-57.00;13.20;218031
-57.00;13.20;218109
-57.00;13.20;218188
-57.00;13.20;218267
-57.00;13.20;218347
-57.00;13.20;218426
-57.00;13.20;218505
-57.00;13.20;218584
-57.00;13.20;218662
-57.00;13.20;218742
-57.00;13.20;218821
-57.00;13.20;218900
-57.00;13.20;218979
-57.00;13.20;219058
-57.00;13.20;219138
-57.00;13.20;219216
-57.00;13.20;219295
-57.00;13.20;219374
-57.00;13.20;219453
-57.00;13.20;219532
-57.00;13.20;219612
-57.00;13.20;219691
-57.00;13.20;219769
-57.00;13.20;219848
-57.00;13.20;219927
-57.00;13.20;220007
-57.00;13.20;220086
