-10.00;0.00;717
0.26;0.01;790
0.00;0.00;863
-2.10;0.01;936
-6.00;0.00;1010
-9.00;0.00;1085
-10.00;0.00;1162
-9.80;0.00;1236
-9.70;0.00;1311
-9.70;0.00;1386
-9.70;0.00;1461
-9.70;0.00;1536
-9.70;0.01;1610
-9.70;0.00;1685
-9.70;0.00;1761
-9.70;0.00;1836
-9.70;0.00;1910
-9.70;0.00;1985
-9.70;0.00;2060
-9.70;0.00;2135
-9.70;0.00;2209
-9.70;0.00;2284
-9.70;0.01;2360
-9.70;0.00;2435
-9.70;0.00;2509
-9.70;0.00;2584
-9.70;0.00;2659
-9.70;0.00;2734
-9.70;0.00;2808
-9.70;0.00;2883
-9.70;0.00;2959
-9.70;0.00;3034
-9.70;0.00;3108
-9.70;0.00;3183
-9.70;0.00;3258
-9.70;0.00;3333
-9.70;0.00;3407
-9.70;0.00;3482
-9.70;0.00;3558
-9.70;0.00;3633
-9.70;0.00;3707
-9.70;0.00;3782
-9.70;0.00;3857
