-16.91;11.97;791
0.01;0.02;881
0.01;0.01;954
0.01;0.01;1028
0.01;0.02;1101
0.01;0.02;1175
0.01;0.02;1249
0.01;0.02;1323
0.01;0.01;1396
0.01;0.01;1470
0.01;0.01;1544
0.01;0.01;1617
0.01;0.01;1691
0.01;0.01;1766
0.01;0.01;1840
0.01;0.01;1913
0.01;0.01;1987
0.01;0.02;2061
0.02;0.01;2135
0.01;0.01;2208
0.01;0.02;2282
0.01;0.02;2356
0.01;0.02;2430
0.01;0.01;2504
0.01;0.01;2578
0.01;0.02;2652
0.01;0.01;2725
0.01;0.01;2799
0.01;0.01;2873
0.01;0.02;2947
0.01;0.01;3020
0.01;0.02;3095
0.01;0.01;3169
0.01;0.02;3243
0.01;0.02;3316
0.01;0.02;3390
0.01;0.01;3464
0.01;0.01;3537
0.01;0.02;3611
0.01;0.02;3685
0.01;0.01;3760
0.02;0.02;3833
0.01;0.01;3907
0.01;0.02;3981
0.01;0.01;4055
0.01;0.02;4128
0.02;0.01;4202
0.01;0.02;4276
0.01;0.02;4349
0.01;0.02;4424
0.01;0.02;4498
0.01;0.02;4572
0.02;0.02;4645
0.01;0.01;4719
0.01;0.02;4793
0.01;0.01;4867
0.01;0.02;4940
0.01;0.02;5014
0.01;0.02;5089
0.01;0.02;5163
0.01;0.01;5236
0.01;0.01;5310
0.01;0.02;5384
0.01;0.02;5457
0.01;0.02;5531
0.01;0.02;5605
0.01;0.02;5679
0.01;0.02;5753
0.01;0.02;5827
0.01;0.02;5901
0.01;0.02;5975
0.01;0.02;6048
0.01;0.02;6122
0.01;0.02;6196
0.01;0.02;6269
